Date,Team,Acq,Rel,Notes,Acquired,Relinquished
9/27/2024,Rams,,• Byron Young (b. 1998-03-13),"fined $7,014 by NFL for roughing the passer",#VALUE!,Byron Young (b. 1998-03-13)
9/27/2024,Rams,,• Christian Rozeboom,"fined $7,778 by NFL for excessive facemask",#VALUE!,Christian Rozeboom
9/27/2024,Rams,,• Derion Kendrick,"fined $5,656 by NFL for unsportsmanlike conduct",#VALUE!,Derion Kendrick
9/27/2024,Rams,,• Kamren Kinchens,"fined $5,653 by NFL for unsportsmanlike conduct / taunting",#VALUE!,Kamren Kinchens
9/27/2024,Saints,,• Khristian Boyd,"fined $4,665 by NFL for late hit",#VALUE!,Khristian Boyd
9/27/2024,Saints,,• Trevor Penning,"fined $11,255 by NFL for late hit",#VALUE!,Trevor Penning
9/27/2024,Seahawks,,• Devon Witherspoon,"fined $11,255 by NFL for late hit",#VALUE!,Devon Witherspoon
9/27/2024,Seahawks,,• Tyrice Knight,"fined $5,490 by NFL for horse collar tackle",#VALUE!,Tyrice Knight
9/27/2024,Steelers,,• Darnell Washington,"fined $6,760 by NFL for crackback block",#VALUE!,Darnell Washington
9/28/2024,Giants,,• Malik Nabers,"fined $28,128 by NFL for inappropriate gestures",#VALUE!,Malik Nabers
9/30/2024,Chargers,• Derwin James Jr.,,reinstated from suspension,Derwin James Jr.,#VALUE!
10/1/2024,Bills,,• Von Miller,suspended by NFL for 4 games for violating the league's personal conduct policy,#VALUE!,Von Miller
10/1/2024,Browns,,• Michael Hall Jr. / Mike Hall Jr.,suspended by NFL for 5 games for violating the league's personal conduct policy,#VALUE!,Michael Hall Jr. / Mike Hall Jr.
10/4/2024,Bills,,• Dawuane Smoot,"fined $8,156 by NFL for unnecessary roughness",#VALUE!,Dawuane Smoot
10/4/2024,Browns,,• Alex Wright,"Fined $7,743 by NFL for roughing the passer",#VALUE!,Alex Wright
10/4/2024,Chargers,,• Denzel Perryman,"fined $66,666 by NFL for impermissible use of the helmet",#VALUE!,Denzel Perryman
10/4/2024,Chargers,,• Khalil Mack,"fined $22,511 by NFL for impermissible use of the helmet",#VALUE!,Khalil Mack
10/4/2024,Colts,,• Isaiah Land,"fined $5,083 by NFL for roughing the passer",#VALUE!,Isaiah Land
10/4/2024,Commanders,,• Jeremy McNichols,"fined $6,250 by NFL for obscene/violent gestures",#VALUE!,Jeremy McNichols
10/4/2024,Cowboys,,• CeeDee Lamb,"fined $25,324 by NFL for obscene/violent gestures",#VALUE!,CeeDee Lamb
10/4/2024,Cowboys,,• CeeDee Lamb,"fined $11,255 by NFL for taunting",#VALUE!,CeeDee Lamb
10/4/2024,Dolphins,,• Emmanuel Ogbah,"fined $11,255 by NFL for excessive facemask",#VALUE!,Emmanuel Ogbah
10/4/2024,Dolphins,,• Jaelan Phillips,"fined $16,883 by NFL for low hit / roughing the passer",#VALUE!,Jaelan Phillips
10/4/2024,Eagles,,• Kenneth Gainwell,"fined $6,327 by NFL for low block",#VALUE!,Kenneth Gainwell
10/4/2024,Eagles,,• Nakobe Dean,"fined $7,886 by NFL for hip-drop tackle",#VALUE!,Nakobe Dean
10/4/2024,Falcons,,• Matthew Bergeron,"fined $11,255 by NFL for excessive facemask",#VALUE!,Matthew Bergeron
10/4/2024,Jets,,• Allen Lazard,"fined $14,069 by NFL for obscene/violent gestures",#VALUE!,Allen Lazard
10/4/2024,Jets,,• John Simpson (b. 1997-08-19),"fined $16,883 by NFL for leg whip",#VALUE!,John Simpson (b. 1997-08-19)
10/4/2024,Lions,,• Jameson Williams,"fined $14,069 by NFL for unsportsmanlike conduct",#VALUE!,Jameson Williams
10/4/2024,Panthers,,• Xavier Woods (a),"fined $11,255 by NFL for late hit",#VALUE!,Xavier Woods (a)
10/4/2024,Raiders,,• Adam Butler,"fined $9,653 by NFL for taunting",#VALUE!,Adam Butler
10/4/2024,Raiders,,• Adam Butler,"fined $9,653 by NFL for roughing the passer",#VALUE!,Adam Butler
10/4/2024,Saints,,• Alontae Taylor,"fined $10,916 by NFL for obscene/violent gestures",#VALUE!,Alontae Taylor
10/4/2024,Saints,,• Marshon Lattimore,"fined $14,069 by NFL for obscene/violent gestures",#VALUE!,Marshon Lattimore
10/4/2024,Seahawks,,• Zach Charbonnet,"fined $45,020 by NFL for impermissible use of the helmet",#VALUE!,Zach Charbonnet
10/4/2024,Steelers,,• Broderick Jones,"fined $11,255 by NFL for late hit",#VALUE!,Broderick Jones
10/4/2024,Texans,,• Nico Collins,"fined $22,511 by NFL for unnecessary roughness / impermissible use of the helmet",#VALUE!,Nico Collins
10/5/2024,Packers,,• Matt LaFleur,"fined as head coach $14,069 by NFL for unsportsmanlike conduct",#VALUE!,Matt LaFleur
10/5/2024,Packers,,• Romeo Doubs,suspended by NFL for 1 games for conduct detrimental to the team,#VALUE!,Romeo Doubs
10/7/2024,Packers,• Romeo Doubs,,reinstated from suspension,Romeo Doubs,#VALUE!
10/7/2024,Browns,• Michael Hall Jr. / Mike Hall Jr.,,reinstated from suspension,Michael Hall Jr. / Mike Hall Jr.,#VALUE!
10/7/2024,Cardinals,• Zay Jones,,reinstated from suspension,Zay Jones,#VALUE!
10/7/2024,Browns,• Michael Hall Jr. / Mike Hall Jr.,,activated from reserve/suspended list,Michael Hall Jr. / Mike Hall Jr.,#VALUE!
10/7/2024,Cardinals,• Zay Jones,,activated from reserve/suspended list,Zay Jones,#VALUE!
10/9/2024,,,• Shi Smith,suspended by NFL for 6 games for an undisclosed reason,#VALUE!,Shi Smith
10/9/2024,,,• Tariq Carpenter,suspended by NFL for 6 games for conduct detrimental to the league,#VALUE!,Tariq Carpenter
10/11/2024,49ers,,• Charvarius Ward,"fined $11,255 by NFL for excessive facemask",#VALUE!,Charvarius Ward
10/11/2024,49ers,,• Dre Greenlaw,"fined $14,069 by NFL for unsportsmanlike conduct",#VALUE!,Dre Greenlaw
10/11/2024,Bears,,• Matt Pryor,"fined $6,527 by NFL for fighting",#VALUE!,Matt Pryor
10/11/2024,Bengals,,• Ja'Marr Chase,"fined $19,697 by NFL for obscene gesture",#VALUE!,Ja'Marr Chase
10/11/2024,Bengals,,• Trey Hendrickson,"fined $16,883 by NFL for roughing the passer",#VALUE!,Trey Hendrickson
10/11/2024,Broncos,,• Michael Burton,"fined $7,653 by NFL for blindside block",#VALUE!,Michael Burton
10/11/2024,Buccaneers,,• K.J. Britt,"fined $6,231 by NFL for hit to a defenseless receiver",#VALUE!,K.J. Britt
10/11/2024,Buccaneers,,• Vita Vea,"fined $14,069 by NFL for obscene gesture",#VALUE!,Vita Vea
10/11/2024,Chiefs,,• Tershawn Wharton,"fined $11,817 by NFL for fighting",#VALUE!,Tershawn Wharton
10/11/2024,Cowboys,,• Donovan Wilson,"fined $11,255 by NFL for late hit",#VALUE!,Donovan Wilson
10/11/2024,Cowboys,,• Jourdan Lewis,"fined $11,255 by NFL for taunting",#VALUE!,Jourdan Lewis
10/11/2024,Dolphins,,• Jalen Ramsey,"fined $16,883 by NFL for roughing the passer",#VALUE!,Jalen Ramsey
10/11/2024,Dolphins,,• Malik Washington,"fined $4,694 by NFL for blindside block",#VALUE!,Malik Washington
10/11/2024,Falcons,,• J.D. Bertrand,"fined $4,903 by NFL for late hit",#VALUE!,J.D. Bertrand
10/11/2024,Falcons,,• James Smith-Williams,"fined $7,180 by NFL for hip-drop tackle",#VALUE!,James Smith-Williams
10/11/2024,Jaguars,,• Andre Cisco,"fined $14,069 by NFL for obscene gesture",#VALUE!,Andre Cisco
10/11/2024,Jaguars,,• Tank Bigsby,"fined $6,531 by NFL for taunting",#VALUE!,Tank Bigsby
10/11/2024,Panthers,,• D.J. Johnson (b),"fined $6,948 by NFL for late hit",#VALUE!,D.J. Johnson (b)
10/11/2024,Panthers,,• Jaycee Horn,"fined $11,817 by NFL for fighting",#VALUE!,Jaycee Horn
10/11/2024,Panthers,,• Tommy Tremble,"fined $17,083 by NFL for impermissible use of the helmet",#VALUE!,Tommy Tremble
10/11/2024,Patriots,,• Keion White,"fined $9,836 by NFL for horse collar tackle",#VALUE!,Keion White
10/11/2024,Patriots,,• Keion White,"fined $9,836 by NFL for roughing the passer",#VALUE!,Keion White
10/11/2024,Seahawks,,• D.K. Metcalf,"fined $11,255 by NFL for unnecessary roughness",#VALUE!,D.K. Metcalf
10/11/2024,Steelers,,• George Pickens,"fined $10,231 by NFL for displaying a personal message",#VALUE!,George Pickens
10/11/2024,Steelers,,• George Pickens,"fined $10,230 by NFL for excessive facemask",#VALUE!,George Pickens
10/11/2024,Texans,,• Dalton Schultz,"fined $11,255 by NFL for taunting",#VALUE!,Dalton Schultz
10/12/2024,Broncos,,• John Franklin-Myers,"fined $14,069 by NFL",#VALUE!,John Franklin-Myers
10/12/2024,Cardinals,,• Trey McBride,"fined $9,545 by NFL",#VALUE!,Trey McBride
10/14/2024,Texans,,• Mario Edwards Jr.,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Mario Edwards Jr.
10/14/2024,Texans,• Denico Autry,,reinstated from suspension,Denico Autry,#VALUE!
10/14/2024,Texans,,• Mario Edwards Jr.,placed on reserve/suspended list,#VALUE!,Mario Edwards Jr.
10/14/2024,Texans,• Denico Autry,,activated from reserve/suspended list,Denico Autry,#VALUE!
10/18/2024,Bears,,• Chris Williams (b. 1998-06-16),"fined $5,472 by NFL for hip-drop tackle",#VALUE!,Chris Williams (b. 1998-06-16)
10/18/2024,Bills,,• Dion Dawkins,"fined $11,255 by NFL for taunting",#VALUE!,Dion Dawkins
10/18/2024,Bills,,• Taron Johnson,"fined $11,817 by NFL for low block",#VALUE!,Taron Johnson
10/18/2024,Browns,,• Jeremiah Owusu-Koramoah,"fined $20,900 by NFL for impermissible use of the helmet",#VALUE!,Jeremiah Owusu-Koramoah
10/18/2024,Browns,,• Michael Dunn,"fined $7,181 by NFL for excessive facemask",#VALUE!,Michael Dunn
10/18/2024,Cardinals,,• DeeJay Dallas,"fined $11,102 by NFL for horse collar tackle",#VALUE!,DeeJay Dallas
10/18/2024,Cardinals,,• Joey Blount,"fined $5,472 by NFL for excessive facemask",#VALUE!,Joey Blount
10/18/2024,Colts,,• Ryan Kelly,"fined $11,255 by NFL for excessive facemask",#VALUE!,Ryan Kelly
10/18/2024,Eagles,,• Isaiah Rodgers,"fined $5,861 by NFL for impermissible use of the helmet",#VALUE!,Isaiah Rodgers
10/18/2024,Eagles,,• Saquon Barkley,"fined $45,020 by NFL for impermissible use of the helmet",#VALUE!,Saquon Barkley
10/18/2024,Falcons,,• Kevin King,"fined $6,250 by NFL for low block",#VALUE!,Kevin King
10/18/2024,Jaguars,,• Antonio Johnson (c),"fined $5,503 by NFL for excessive facemask",#VALUE!,Antonio Johnson (c)
10/18/2024,Jets,,• Javon Kinlaw,"fined $15,944 by NFL for verbally abusing an official",#VALUE!,Javon Kinlaw
10/18/2024,Lions,,• Amon-Ra St. Brown,"fined $11,255 by NFL for taunting",#VALUE!,Amon-Ra St. Brown
10/18/2024,Packers,,• Jaire Alexander,"fined $11,255 by NFL for excessive facemask",#VALUE!,Jaire Alexander
10/18/2024,Raiders,,• Jack Jones (b. 1997-12-20),"fined $5,472 by NFL for taunting",#VALUE!,Jack Jones (b. 1997-12-20)
10/18/2024,Saints,,• Alontae Taylor,"fined $10,916 by NFL for taunting",#VALUE!,Alontae Taylor
10/18/2024,Saints,,• Connor McGovern (b. 1993-04-27),"fined $6,722 by NFL for excessive facemask",#VALUE!,Connor McGovern (b. 1993-04-27)
10/18/2024,Seahawks,,• Julian Love,"fined $11,817 by NFL for low block",#VALUE!,Julian Love
10/18/2024,Seahawks,,• Leonard Williams (Austin),"fined $11,255 by NFL for excessive facemask",#VALUE!,Leonard Williams (Austin)
10/18/2024,Texans,,• Mario Edwards Jr.,"fined $9,245 by NFL for excessive facemask",#VALUE!,Mario Edwards Jr.
10/18/2024,Texans,,• Stefon Diggs,"fined $11,255 by NFL for taunting",#VALUE!,Stefon Diggs
10/18/2024,Titans,,• L'Jarius Sneed,"fined $140,969 by NFL for taunting",#VALUE!,L'Jarius Sneed
10/18/2024,Titans,,• Sebastian Joseph / Sebastian Joseph-Day,"fined $16,883 by NFL for roughing the passer",#VALUE!,Sebastian Joseph / Sebastian Joseph-Day
10/21/2024,Lions,,• Jameson Williams,suspended by NFL for 2 games for violating the league's performance enhancing substances policy,#VALUE!,Jameson Williams
10/22/2024,Commanders,,• Kevon Seymour,suspended by NFL for 6 games for violating the league's performance enhancing substances policy,#VALUE!,Kevon Seymour
10/24/2024,Lions,,• Jameson Williams,placed on reserve/suspended list,#VALUE!,Jameson Williams
10/25/2024,49ers,,• Deommodore Lenoir,"fined $11,817 by NFL for fighting",#VALUE!,Deommodore Lenoir
10/25/2024,49ers,,• Trent Williams,"fined $11,817 by NFL for fighting",#VALUE!,Trent Williams
10/25/2024,Bills,,• Taron Johnson,"fined $16,883 by NFL for hit to a defenseless receiver",#VALUE!,Taron Johnson
10/25/2024,Broncos,,• Levi Wallace,"fined $7,181 by NFL for hip-drop tackle",#VALUE!,Levi Wallace
10/25/2024,Broncos,,• Malcolm Roach,"fined $14,069 by NFL for obscene gesture",#VALUE!,Malcolm Roach
10/25/2024,Buccaneers,,• Antoine Winfield Jr.,"fined $11,817 by NFL for low block",#VALUE!,Antoine Winfield Jr.
10/25/2024,Buccaneers,,• Baker Mayfield,"fined $11,255 by NFL for excessive facemask",#VALUE!,Baker Mayfield
10/25/2024,Buccaneers,,• Earnest Brown IV,"fined $5,472 by NFL for impermissible use of the helmet",#VALUE!,Earnest Brown IV
10/25/2024,Buccaneers,,• Jordan Whitehead,"fined $11,817 by NFL for low block",#VALUE!,Jordan Whitehead
10/25/2024,Buccaneers,,• K.J. Britt,"fined $6,231 by NFL for roughing the passer",#VALUE!,K.J. Britt
10/25/2024,Chiefs,,• Bryan Cook (b),"fined $8,442 by NFL for fighting",#VALUE!,Bryan Cook (b)
10/25/2024,Chiefs,,• Skyy Moore,"fined $9,356 by NFL for unsportsmanlike conduct",#VALUE!,Skyy Moore
10/25/2024,Dolphins,,• Alec Ingold,"fined $17,445 by NFL for low block",#VALUE!,Alec Ingold
10/25/2024,Dolphins,,• Kader Kohou,"fined $5,527 by NFL for obscene gesture",#VALUE!,Kader Kohou
10/25/2024,Dolphins,,• Kader Kohou,"fined $5,528 by NFL for obscene gesture",#VALUE!,Kader Kohou
10/25/2024,Eagles,,• Bryce Huff,"fined $16,883 by NFL for roughing the passer",#VALUE!,Bryce Huff
10/25/2024,Giants,,• Tomon Fox,"fined $5,102 by NFL for roughing the kicker",#VALUE!,Tomon Fox
10/25/2024,Jets,,• Leonard Taylor III,"fined $4,435 by NFL for roughing the passer",#VALUE!,Leonard Taylor III
10/25/2024,Jets,,• Quincy Williams,"fined $45,020 by NFL for impermissible use of the helmet",#VALUE!,Quincy Williams
10/25/2024,Packers,,• Ben Sims,"fined $5,083 by NFL for leg whip",#VALUE!,Ben Sims
10/25/2024,Ravens,,• Nnamdi Madubuike / Justin Madubuike,"fined $16,883 by NFL for roughing the passer",#VALUE!,Nnamdi Madubuike / Justin Madubuike
10/25/2024,Ravens,,• Roquan Smith,"fined $16,883 by NFL for hip-drop tackle",#VALUE!,Roquan Smith
10/25/2024,Texans,,• Neville Hewitt,"fined $11,255 by NFL for late hit",#VALUE!,Neville Hewitt
10/25/2024,Cowboys,,• Sam Williams (Degarrick),suspended by NFL for 3 games for violating the league's personal conduct policy,#VALUE!,Sam Williams (Degarrick)
10/25/2024,Cowboys,,• Sam Williams (Degarrick),placed on reserve/suspended list,#VALUE!,Sam Williams (Degarrick)
10/28/2024,Bills,• Von Miller,,reinstated from suspension,Von Miller,#VALUE!
10/29/2024,Steelers,• Cameron Sutton / Cam Sutton,,reinstated from suspension,Cameron Sutton / Cam Sutton,#VALUE!
10/29/2024,Steelers,• Cameron Sutton / Cam Sutton,,activated from reserve/suspended list,Cameron Sutton / Cam Sutton,#VALUE!
10/31/2024,Jaguars,• Tashaun Gipson,,reinstated from suspension,Tashaun Gipson,#VALUE!
10/31/2024,Jaguars,• Tashaun Gipson,,activated from reserve/suspended list,Tashaun Gipson,#VALUE!
11/1/2024,49ers,,• Demetrius Flannigan-Fowles,"fined $10,750 by NFL for impermissible use of the helmet",#VALUE!,Demetrius Flannigan-Fowles
11/1/2024,Bears,,• Darrell Taylor,"fined $11,817 by NFL for fighting (1)",#VALUE!,Darrell Taylor
11/1/2024,Bears,,• Darrell Taylor,"fined $11,817 by NFL for fighting (2)",#VALUE!,Darrell Taylor
11/1/2024,Browns,,• Jeremiah Owusu-Koramoah,"fined $11,817 by NFL for fighting",#VALUE!,Jeremiah Owusu-Koramoah
11/1/2024,Browns,,• Martin Emerson,"fined $8,012 by NFL for hip-drop tackle",#VALUE!,Martin Emerson
11/1/2024,Browns,,• Mohamoud Diabate,"fined $5,130 by NFL for excessive facemask",#VALUE!,Mohamoud Diabate
11/1/2024,Buccaneers,,• Payne Durham,"fined $5,424 by NFL for leg whip",#VALUE!,Payne Durham
11/1/2024,Chargers,,• Otito Ogbonnia,"fined $5,915 by NFL for late hit",#VALUE!,Otito Ogbonnia
11/1/2024,Colts,,• Grant Stuard,"fined $5,861 by NFL for impermissible use of the helmet",#VALUE!,Grant Stuard
11/1/2024,Commanders,,• Samuel Cosmi / Sam Cosmi,"fined $11,817 by NFL for unsportsmanlike conduct",#VALUE!,Samuel Cosmi / Sam Cosmi
11/1/2024,Falcons,,• Jessie Bates III,"fined $11,255 by NFL for taunting",#VALUE!,Jessie Bates III
11/1/2024,Jets,,• Jamien Sherwood,"fined $6,354 by NFL for impermissible use of the helmet",#VALUE!,Jamien Sherwood
11/1/2024,Panthers,,• Damien Lewis,"fined $11,255 by NFL for late hit",#VALUE!,Damien Lewis
11/1/2024,Raiders,,• Jakorian Bennett,"fined $6,227 by NFL for hip-drop tackle",#VALUE!,Jakorian Bennett
11/1/2024,Rams,,• Byron Young (b. 1998-03-13),"fined $7,014 by NFL for excessive facemask",#VALUE!,Byron Young (b. 1998-03-13)
11/1/2024,Saints,,• Nathan Shepherd,"fined $11,817 by NFL for unsportsmanlike conduct",#VALUE!,Nathan Shepherd
11/1/2024,Seahawks,,• Derick Hall,"fined $11,510 by NFL for late hit",#VALUE!,Derick Hall
11/1/2024,Seahawks,,• Geno Smith,"fined $11,255 by NFL for taunting",#VALUE!,Geno Smith
11/1/2024,Seahawks,,• Tariq Woolen,"fined $5,934 by NFL for taunting",#VALUE!,Tariq Woolen
11/1/2024,Texans,,• Troy Hairston,"fined $5,130 by NFL for blindside block",#VALUE!,Troy Hairston
11/1/2024,Vikings,,• Aaron Jones (LaRae),"fined $11,817 by NFL for low block",#VALUE!,Aaron Jones (LaRae)
11/1/2024,Vikings,,• Ivan Pace Jr.,"fined $5,120 by NFL for excessive facemask",#VALUE!,Ivan Pace Jr.
11/4/2024,Lions,• Jameson Williams,,reinstated from suspension,Jameson Williams,#VALUE!
11/4/2024,Lions,• Jameson Williams,,activated from reserve/suspended list,Jameson Williams,#VALUE!
11/5/2024,Jets,,• Jimmy Moreland,suspended by NFL for 3 games,#VALUE!,Jimmy Moreland
11/8/2024,Bills,,• Taylor Rapp,"fined $11,255 by NFL for taunting",#VALUE!,Taylor Rapp
11/8/2024,Broncos,,• Devon Key,"fined $4,417 by NFL for excessive facemask",#VALUE!,Devon Key
11/8/2024,Cardinals,,• Joey Blount,"fined $16,883 by NFL for excessive facemask",#VALUE!,Joey Blount
11/8/2024,Chiefs,,• Joshua Williams,"fined $6,398 by NFL for horse collar tackle",#VALUE!,Joshua Williams
11/8/2024,Commanders,,• Dorance Armstrong Jr.,"fined $16,883 by NFL for roughing the passer",#VALUE!,Dorance Armstrong Jr.
11/8/2024,Dolphins,,• Cam Smith (Marquise Jani'),"fined $8,874 by NFL for horse collar tackle",#VALUE!,Cam Smith (Marquise Jani')
11/8/2024,Dolphins,,• Jordan Poyer,"fined $11,193 by NFL for hit to a defenseless receiver",#VALUE!,Jordan Poyer
11/8/2024,Dolphins,,• Raheem Mostert,"fined $18,830 by NFL for impermissible use of the helmet",#VALUE!,Raheem Mostert
11/8/2024,Giants,,• Micah McFadden,"fined $5,966 by NFL for hip-drop tackle",#VALUE!,Micah McFadden
11/8/2024,Jaguars,,• Andre Cisco,"fined $11,817 by NFL for low block",#VALUE!,Andre Cisco
11/8/2024,Jets,,• Irvin Charles,"fined $5,083 by NFL for roughing the kicker",#VALUE!,Irvin Charles
11/8/2024,Jets,,• Kenny Yeboah,"fined $7,964 by NFL for excessive facemask",#VALUE!,Kenny Yeboah
11/8/2024,Jets,,• Quincy Williams,"fined $11,255 by NFL for taunting",#VALUE!,Quincy Williams
11/8/2024,Lions,,• Brian Branch,"fined $10,128 by NFL for hit to a defenseless receiver",#VALUE!,Brian Branch
11/8/2024,Lions,,• Brian Branch,"fined $10,128 by NFL for obscene gesture",#VALUE!,Brian Branch
11/8/2024,Panthers,,• Demani Richardson,"fined $4,463 by NFL for hit to a defenseless receiver",#VALUE!,Demani Richardson
11/8/2024,Panthers,,• Xavier Woods (a),"fined $16,883 by NFL for hit to a defenseless receiver",#VALUE!,Xavier Woods (a)
11/8/2024,Patriots,,• Keion White,"fined $22,511 by NFL for horse collar tackle",#VALUE!,Keion White
11/8/2024,Raiders,,• Maxx Crosby,"fined $11,255 by NFL for unsportsmanlike conduct",#VALUE!,Maxx Crosby
11/8/2024,Saints,,• Demario Davis,"fined $11,255 by NFL for excessive facemask",#VALUE!,Demario Davis
11/8/2024,Saints,,• Payton Turner,"fined $16,883 by NFL for hit to a defenseless receiver",#VALUE!,Payton Turner
